molecule_chembl_id,canonical_smiles,standard_value
CHEMBL243822,Oc1ccc(CCc2ccc(O)c(O)c2O)cc1,30000.0
CHEMBL734,CC(=O)NO,17000.0
CHEMBL242739,O=c1c(-c2ccc(O)cc2)coc2c(O)c(O)ccc12,140000.0
CHEMBL503157,N=C(Cc1ccc(O)cc1)c1ccc(O)c(O)c1,17000.0
CHEMBL412199,NC(Cc1ccc(O)cc1)c1ccc(O)c(O)c1O,47000.0
CHEMBL593513,Cc1ncc([N+](=O)[O-])n1CCOC(=O)c1cc(Cl)ccc1OCCn1c([N+](=O)[O-])cnc1C,12000.0
CHEMBL595619,Cc1ncc([N+](=O)[O-])n1CCOC(=O)c1cc(Br)ccc1OCCn1c([N+](=O)[O-])cnc1C,26000.0
CHEMBL1276206,Oc1ccc(CCc2ccc(F)cc2)c(O)c1O,43000.0
CHEMBL1276207,Oc1ccc(CCc2ccc(Cl)cc2)c(O)c1O,47000.0
CHEMBL1276035,Oc1ccc(CCc2ccc(Br)cc2)c(O)c1O,48000.0
CHEMBL1276036,Oc1ccc(CCc2cccc(Cl)c2)c(O)c1O,50000.0
CHEMBL1276037,Oc1ccc(CCc2cccc(Br)c2)c(O)c1O,52000.0
CHEMBL1276338,COc1ccc(CCc2ccc(O)c(O)c2O)cc1OC,71000.0
CHEMBL1276359,CCOc1ccc(CCc2ccc(O)c(O)c2O)cc1OCC,69000.0
CHEMBL1276108,CCc1ccc(O)c(O)c1O,34000.0
CHEMBL1276131,CCCCc1ccc(O)c(O)c1O,79000.0
CHEMBL1276132,CCCCCCc1ccc(O)c(O)c1O,91000.0
CHEMBL1276133,CCCCCCCCc1ccc(O)c(O)c1O,103000.0
CHEMBL1276134,CCCCCCCCCCc1ccc(O)c(O)c1O,124000.0
CHEMBL1276360,CCCCCCCCCCCCc1ccc(O)c(O)c1O,168000.0
CHEMBL1276361,CCCCCCCCCCCCCCc1ccc(O)c(O)c1O,250000.0
CHEMBL1276205,Oc1ccc(CCc2ccc(O)c(O)c2)cc1,1500.0
CHEMBL1276204,Oc1ccc(CCc2ccc(F)cc2)cc1O,6200.0
