activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,1944249,[],CHEMBL893889,Inhibition of Helicobacter pylori ATCC 43504 urease after 3 hrs pre-incubation,B,,,BAO_0000190,BAO_0000019,assay format,Oc1ccc(CCc2ccc(O)c(O)c2O)cc1,,,CHEMBL1147950,Bioorg Med Chem,2007,"{'bei': '18.37', 'le': '0.34', 'lle': '2.23', 'sei': '5.59'}",CHEMBL243822,,CHEMBL243822,4.52,0,http://www.openphacts.org/units/Nanomolar,651623,=,1,1,=,,IC50,nM,,30000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,mM,UO_0000065,,0.03
,1944250,[],CHEMBL893889,Inhibition of Helicobacter pylori ATCC 43504 urease after 3 hrs pre-incubation,B,,,BAO_0000190,BAO_0000019,assay format,CC(=O)NO,,,CHEMBL1147950,Bioorg Med Chem,2007,"{'bei': '63.53', 'le': '1.30', 'lle': '5.26', 'sei': '9.67'}",CHEMBL734,ACETOHYDROXAMIC ACID,CHEMBL734,4.77,1,http://www.openphacts.org/units/Nanomolar,651629,=,1,1,=,,IC50,nM,,17000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,mM,UO_0000065,,0.017
,1944251,[],CHEMBL893889,Inhibition of Helicobacter pylori ATCC 43504 urease after 3 hrs pre-incubation,B,,,BAO_0000190,BAO_0000019,assay format,O=c1c(-c2ccc(O)cc2)coc2c(O)c(O)ccc12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1147950,Bioorg Med Chem,2007,,CHEMBL242739,,CHEMBL242739,,0,http://www.openphacts.org/units/Nanomolar,651625,=,1,1,=,,IC50,nM,,140000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,mM,UO_0000065,,0.14
,1944874,[],CHEMBL893890,Inhibition of Helicobacter pylori ATCC 43504 urease in presence of 0.4 mM 2-mercaptoethanol after 3 hrs pre-incubation,B,,,BAO_0000190,BAO_0000019,assay format,O=c1c(-c2ccc(O)cc2)coc2c(O)c(O)ccc12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1147950,Bioorg Med Chem,2007,,CHEMBL242739,,CHEMBL242739,,0,http://www.openphacts.org/units/Nanomolar,651625,>,1,1,>,,IC50,nM,,1480000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,mM,UO_0000065,,1.48
,1944876,[],CHEMBL893891,Inhibition of Helicobacter pylori ATCC 43504 urease in presence of 0.4 mM dithiothreitol after 3 hrs pre-incubation,B,,,BAO_0000190,BAO_0000019,assay format,O=c1c(-c2ccc(O)cc2)coc2c(O)c(O)ccc12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1147950,Bioorg Med Chem,2007,,CHEMBL242739,,CHEMBL242739,,0,http://www.openphacts.org/units/Nanomolar,651625,>,1,1,>,,IC50,nM,,1480000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,mM,UO_0000065,,1.48
,1944877,[],CHEMBL893890,Inhibition of Helicobacter pylori ATCC 43504 urease in presence of 0.4 mM 2-mercaptoethanol after 3 hrs pre-incubation,B,,,BAO_0000190,BAO_0000019,assay format,Oc1ccc(CCc2ccc(O)c(O)c2O)cc1,,,CHEMBL1147950,Bioorg Med Chem,2007,"{'bei': '16.85', 'le': '0.31', 'lle': '1.86', 'sei': '5.13'}",CHEMBL243822,,CHEMBL243822,4.15,0,http://www.openphacts.org/units/Nanomolar,651623,=,1,1,=,,IC50,nM,,71000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,mM,UO_0000065,,0.071
,1944878,[],CHEMBL893891,Inhibition of Helicobacter pylori ATCC 43504 urease in presence of 0.4 mM dithiothreitol after 3 hrs pre-incubation,B,,,BAO_0000190,BAO_0000019,assay format,Oc1ccc(CCc2ccc(O)c(O)c2O)cc1,,,CHEMBL1147950,Bioorg Med Chem,2007,"{'bei': '17.36', 'le': '0.32', 'lle': '1.99', 'sei': '5.28'}",CHEMBL243822,,CHEMBL243822,4.28,0,http://www.openphacts.org/units/Nanomolar,651623,=,1,1,=,,IC50,nM,,53000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,mM,UO_0000065,,0.053
,1944960,[],CHEMBL893890,Inhibition of Helicobacter pylori ATCC 43504 urease in presence of 0.4 mM 2-mercaptoethanol after 3 hrs pre-incubation,B,,,BAO_0000190,BAO_0000019,assay format,CC(=O)NO,,,CHEMBL1147950,Bioorg Med Chem,2007,"{'bei': '62.89', 'le': '1.29', 'lle': '5.21', 'sei': '9.57'}",CHEMBL734,ACETOHYDROXAMIC ACID,CHEMBL734,4.72,0,http://www.openphacts.org/units/Nanomolar,651629,=,1,1,=,,IC50,nM,,19000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,mM,UO_0000065,,0.019
,1944965,[],CHEMBL893891,Inhibition of Helicobacter pylori ATCC 43504 urease in presence of 0.4 mM dithiothreitol after 3 hrs pre-incubation,B,,,BAO_0000190,BAO_0000019,assay format,CC(=O)NO,,,CHEMBL1147950,Bioorg Med Chem,2007,"{'bei': '63.20', 'le': '1.30', 'lle': '5.23', 'sei': '9.62'}",CHEMBL734,ACETOHYDROXAMIC ACID,CHEMBL734,4.75,0,http://www.openphacts.org/units/Nanomolar,651629,=,1,1,=,,IC50,nM,,18000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,mM,UO_0000065,,0.018
,2306334,[],CHEMBL960362,Inhibition of Helicobacter pylori ATCC 43504 urease assessed as ammonia production by indophenol method,B,,,BAO_0000190,BAO_0000019,assay format,CC(=O)NO,,,CHEMBL1137689,Eur J Med Chem,2009,"{'bei': '66.05', 'le': '1.35', 'lle': '5.45', 'sei': '10.05'}",CHEMBL734,ACETOHYDROXAMIC ACID,CHEMBL734,4.96,0,http://www.openphacts.org/units/Nanomolar,784367,=,1,1,=,,IC50,nM,,11000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,mM,UO_0000065,,0.011
